PKM_Name;Gnum;Pnum;Chain_Name;ChainStructure;Chain_Structure_Act;Chain_ShortName
P5PRRRR4G1P8A1;1;8;S5PRRRR4;{\`P}{\`R}{\`R}{\'R}{\'R};\underline{\`P}{\`R}{\`R}{\'R}{\'R};PRRRR
P5PRRRR4V1G1P8A1;1;8;S5PRRRR4V1;{\`P}{\`R}{\`R}{\'R}{\'R};\underline{\`P}{\`R}{\`R}{\'R}{\'R};PRUR
P5PRRRR6G10P8A1;10;8;S5PRRRR6;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRRRR
P5PRRRR6V1G10P8A1;10;8;S5PRRRR6V1;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRUR
P5RPRRR8G9P8A1;9;8;S5RPRRR8;{\`R}{P}{\`R}{\'R}{\'R};{\`R}\underline{P}{\`R}{\'R}{\'R};RPRRR
P5RPRRR8V1G9P8A1;9;8;S5RPRRR8V1;{\`R}{P}{\`R}{\'R}{\'R};{\`R}\underline{P}{\`R}{\'R}{\'R};RPUR
P5RRPRR4G1P8A1;1;8;S5RRPRR4;{\`R}{\`R}{\`P}{\'R}{\'R};{\`R}{\`R}\underline{\`P}{\'R}{\'R};RRPRR
P5RRPRR4G9P8A1;9;8;S5RRPRR4;{\`R}{\`R}{\`P}{\'R}{\'R};{\`R}{\`R}\underline{\`P}{\'R}{\'R};RRPRR
P5RRPRR5G9P8A1;9;8;S5RRPRR5;{\`R}{\`R}{\'P}{\'R}{\'R};{\`R}{\`R}\underline{\'P}{\'R}{\'R};RRPRR
P5RRPRR6G1P8A1;1;8;S5RRPRR6;{\`R}{\`R}{P}{\'R}{\'R};{\`R}{\`R}\underline{P}{\'R}{\'R};RRPRR
P5RRPRR6G9P8A1;9;8;S5RRPRR6;{\`R}{\`R}{P}{\'R}{\'R};{\`R}{\`R}\underline{P}{\'R}{\'R};RRPRR
P5RRPRR7G9P8A1;9;8;S5RRPRR7;{\`R}{\`R}{P}{\'R}{\'R};{\`R}{\`R}\underline{P}{\'R}{\'R};RRPRR
P5RRRRR5G1P8A1;1;8;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRRRR
P5RRRRR5G9P8A1;9;8;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRRRR
P5RRRRR5V1G1P8A1;1;8;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRUR
P5RRRRR5V1G9P8A1;9;8;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRUR
