LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
1;P5PRRRR4G10P8A1;2;5PRRRR;14.01.2022 15:47:50;15.01.2022 01:37:49;37.003746;701.67226893052;i.O.;184.218891015845;29.772720282963;787.262456144964;288.028528714498;845.176487688553;403.051942847477;547.140799873264;1.99006898453341;115.64920040127;39.3985105494254;132.919307415661;2.11876922113851;356.318081609609;6.26536057818923;527.002305948604;163.296483485714;0;25.3812846249993;240.423365964262;13.7752441660814;381.81222115898;1.36753747386308;995.992056754243;26472.903200131;993.375550393016;9.60980659089601;988.626127629644;5.59661665664443;86.0948284859981;13.6067976764301;99.9307920560855;0.00919864809687152;108.711626911796;275;19626;34986.371478
2;P5PRRRR4G1P8A1;2;5PRRRR;14.01.2022 15:47:50;15.01.2022 01:01:16;33206.918254;706.21524078518;i.O.;130.654485902887;20.8162427019639;708.228540525986;202.695821073694;782.762565624985;281.588704159287;177.289716795262;1.1357202346371;132.185651661135;67.5900746182633;81.5405089088052;1.28788579016559;386.111294137317;6.9372511011499;617.470765881419;218.843002881232;0;26.1109235753889;232.415217587446;13.3164110623753;381.506801330153;1.36612982430812;995.787262807078;25185.9401144092;990.672808723493;6.82492940891793;984.608425560505;4.13535164443773;11.5012815210854;1.80681365416357;99.9268933799848;0.00870809637203733;114.835660663002;162;19939;32815.198921
3;P5PRRRR4V1G10P8A1;2;5PRUR;14.01.2022 15:47:50;15.01.2022 00:41:37;32027.69458;753.926379462993;i.O.;89.1279964096842;14.09238626895;574.561770371805;126.669951041422;993.92588531413;10480.547158961;985.329434103077;40.0463858422382;290.557616997073;18391.2551537831;50.69421584967;0.797990274771387;545.771025477372;11.5522141251208;997.678695207902;41137.4426018856;371.770587773564;66.9187057992415;1753.40102109667;100.462478302768;325.96563744791;1.12404228834535;993.245658613216;15708.3138228548;977.975865494202;2.88940195947978;966.928062308408;1.92322260483442;7.65710676235404;1.20283352157438;99.8424749828263;0.0040413801218641;247.440223350915;303;19798;31616.272756
4;P5PRRRR4V1G1P8A1;2;5PRUR;14.01.2022 15:47:50;15.01.2022 01:37:44;38.953295;722.996958037891;i.O.;126.589633887603;20.1509450047184;637.105731770493;156.002568414233;968.586874148378;2024.95928721739;744.348611345246;3.09042411063424;209.254541979468;917.246721679335;24.84387976816;0.390444977131529;229.152871384226;3.76348609890501;973.656862881871;3622.89637885323;445.434639526994;80.178235114859;1633.59036592381;93.5978334206663;295.167235300867;1;989.788880558969;10390.0651483357;969.947456491732;2.11678193187506;965.827624183655;1.8611764811738;30.1630372041457;4.74154737747554;99.8664101240078;0.00476547218276116;209.842794512041;1182;11219;34918.857802
5;P5PRRRR6G10P8A1;2;5PRRRR;14.01.2022 15:47:50;15.01.2022 01:37:49;36.17532;750.717989355045;i.O.;99.9876554288252;15.8364563147894;587.82507392798;132.244121373817;998.486416590654;42060.3561657482;994.126444620919;98.5453005053931;278.833322540903;11690.7821320929;4.07784083276289;0.0640554500785514;198.445404922761;3.22222075272735;998.132547986289;51135.2855419626;0;26.5321761404881;117.244437638724;6.71761144808365;295.167235300867;1;993.938357236865;17503.5205875363;979.382290018811;3.08665308027892;968.078385992396;1.99265031254496;27.9465719387037;4.39265926708607;99.5712931132461;0.00148495433315325;673.421382512508;1020;12381;34960.027135
6;P5PRRRR6G9P8A1;2;5PRRRR;14.01.2022 15:47:50;14.01.2022 21:35:01;20831.172162;3558543261.28374;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;20101;20458.25487
7;P5PRRRR6V1G10P8A1;2;5PRUR;14.01.2022 15:47:50;15.01.2022 01:37:48;37.124952;710.312186845807;i.O.;98.1554633191026;15.5415720032628;571.064190021712;125.24890220936;937.921117041144;1022.24882807414;496.299556917904;1.8281529632538;169.408203726363;233.084883806996;5.64496894858936;0.0886732888962765;202.049314548627;3.28482335351162;936.681724216771;1503.16594492637;247.553355793149;44.5596040427669;2139.03383276525;122.557610853141;295.167235300867;1;991.973096200185;13217.7580919662;969.55526364696;2.08947246813185;955.428974114245;1.42599199980088;35.524627083195;5.58599457531139;98.3587920585437;0.000387811145306869;2578.57468023183;460;15641;34889.858715
8;P5PRRRR6V1G9P8A1;2;5PRUR;14.01.2022 15:47:50;14.01.2022 22:34:34;24404.77795;3245722932.2298;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;20101;24040.370464
9;P5RPRRR5G2P8A1;2;5RPRRR;14.01.2022 15:47:50;14.01.2022 18:23:00;9310.2825;98480133106.7804;Eckpkt.-IK Fehler;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;20101;8926.06514099999
10;P5RPRRR5G9P8A1;2;5RPRRR;14.01.2022 15:47:50;14.01.2022 18:21:01;9191.468411;98462870133.0561;Eckpkt.-IK Fehler;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;20101;8821.26231299999
