LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P5PRRRR4G10P8A1;2;5PRRRR;11.06.2022 10:53:25;11.06.2022 16:51:14;12.193108;2766566580.82676;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;11201;20972.331237
2;P5PRRRR4G1P8A1;2;5PRRRR;11.06.2022 10:53:25;11.06.2022 16:51:14;12.201713;2314305292.21978;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;14801;21112.347579
3;P5PRRRR4V1G10P8A1;2;5PRUR;11.06.2022 10:53:25;11.06.2022 16:51:11;12.798614;2087994337.50237;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;10401;21129.915574
4;P5PRRRR4V1G1P8A1;2;5PRUR;11.06.2022 10:53:25;11.06.2022 16:51:14;30.048104;747.570135854521;i.O.;137.647404904516;21.9649580276318;668.399194988281;174.298818645861;999.374854134943;101835.36408477;996.448792378877;162.339611595132;267.215352820802;7519.35833861161;3.56348827214704;0.055975727499473;174.118556374031;2.80535053175651;998.157721615636;51834.0225354425;376.62790109461;67.7930221970297;2338.49124684002;133.985678872219;295.167235300867;1;993.349680893647;15954.0368151113;982.145375933151;3.56463874251174;976.065703679999;2.65861085594882;203.338399711178;33.0727208776206;99.93020035878;0.00912067033788604;109.641063973789;3;9198;21306.858568
5;P5PRRRR6G10P8A1;2;5PRRRR;11.06.2022 10:53:25;11.06.2022 16:51:14;14.955009;2375254739.21995;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;9601;20578.120768
6;P5PRRRR6G9P8A1;2;5PRRRR;11.06.2022 10:53:25;11.06.2022 16:51:14;12.05569;3539739404.38631;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;20001;21318.879617
7;P5PRRRR6V1G10P8A1;2;5PRUR;11.06.2022 10:53:25;11.06.2022 16:51:14;31.524499;769.118931334867;i.O.;83.9365019865198;13.2616494876774;528.636350527844;109.426767306422;999.679344907755;198537.22392939;998.746517327231;458.091983383141;335.683421764264;114194.265474484;0.998233305419803;0.0156802249453198;234.993748446478;3.86859533433462;999.770805270465;416645.53946429;215.870456834982;38.8566822302967;879.12807817626;50.3703285309468;311.242768577538;1.06394947069146;993.805107688592;17127.0041579301;977.868266376035;2.875343146159;963.259110979852;1.73080409878335;108.476716413571;17.2063311444307;99.3403071941842;0.000964990037569571;1036.28012836133;83;12718;20859.941227
8;P5PRRRR6V1G9P8A1;2;5PRUR;11.06.2022 10:53:25;11.06.2022 16:51:13;16.309259;3297631535.68023;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;11201;20751.029754
9;P5RPRRR8G9P8A1;2;5RPRRR;11.06.2022 10:54:30;11.06.2022 16:51:44;29.415203;720.426398084042;i.O.;125.806843083871;20.0230232034925;646.677754959652;161.289761710719;978.957262458392;3024.26386470074;947.87651574242;11.9619747570573;181.818801971946;355.153830585324;0.140778701668754;0.00221134671076768;170.524877648711;2.74455422882253;929.533813065878;1349.6211859958;0;15.4985982449778;310.75295306159;17.8048326816561;283.270825878426;0.953710027762931;995.365456490634;22893.6077043557;984.094936801703;4.00179052164531;982.831299355421;3.70712635651673;23.6262099594626;3.71290112883463;99.9688704655404;0.0204506663102661;48.8981622812947;16;13185;21152.122251
