LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P5PRRRR4G10P8A1;2;5PRRRR;11.06.2022 10:48:44;11.06.2022 14:56:38;14874.080911;701.277836811094;i.O.;181.610288093163;29.3271813481239;785.2257691525;285.081663849813;856.86081429862;437.235627547158;521.193261617934;1.90418221791303;114.54244849172;38.0079999239421;165.424492553373;2.65858990011272;388.338203646424;6.98919195463377;494.271925761154;147.324707723808;0;26.9332119212519;241.842120104414;13.8565327904789;388.800486051275;1.40000122464984;996.003140653183;26546.3185247582;993.287922041154;9.48433833648598;988.26676336836;5.42516704880572;128.077975123705;20.3943414211632;99.9049304419021;0.00669635277437254;149.335023660503;295;19906;14793.589893
2;P5PRRRR4G1P8A1;2;5PRRRR;11.06.2022 10:48:43;11.06.2022 14:28:40;13196.901699;765.495615841142;i.O.;125.173914594592;19.9196376075755;664.634377717844;171.935173268421;999.54626650228;140306.957227429;998.525578237432;389.597445412801;316.855125938129;52406.2560171373;3.93622870535389;0.0618309238449584;204.669842144377;3.33049004081506;999.465838318112;178771.609202531;0;45.8820421523439;242.915137314937;13.9180121479867;295.167235300867;1;995.499447562041;23575.2231023991;984.132275053596;4.01121102677884;972.589163468378;2.32107588175748;5.45077199873393;0.856226186438838;99.9144058233397;0.00743764837281695;134.45109930913;171;20030;13116.330507
3;P5PRRRR4V1G10P8A1;2;5PRUR;11.06.2022 10:48:42;11.06.2022 14:05:10;11788.831501;747.404711186714;i.O.;88.725838767535;14.0279666782625;579.292861305793;128.623956828768;995.024344476183;12794.4309338777;986.035120836842;42.0203573663847;270.673197654106;8568.25342322551;80.2324360170544;1.26700332039901;676.747492529096;17.9718230297369;995.132583351805;19618.4366378451;401.206588171281;72.2171858708307;1784.88450824888;102.266349240944;382.66104233914;1.37145446251413;993.477272770599;16266.1381966158;978.063665136623;2.90097593419743;966.655792958284;1.90749028468544;10.072066277591;1.58224849055635;99.7896682555823;0.0030267302625034;330.389533678796;246;19955;11711.912469
4;P5PRRRR4V1G1P8A1;2;5PRUR;11.06.2022 10:48:42;11.06.2022 15:06:01;15439.246097;734.868645992155;i.O.;128.045240075669;20.3889855968398;637.944206665451;156.45574063236;996.146839483878;16521.8136097503;974.48523885123;23.4410882585823;245.063399970166;3304.87070677943;59.523535061108;0.93772767482418;336.84098837597;5.84720203745121;990.698280394364;10265.4320260901;460.343618035422;82.8618512463759;1744.84502583973;99.9722558850114;295.167235300867;1;990.184021613595;10808.3863535318;969.358520772719;2.07603583588856;965.77747987387;1.85844415599657;254.915398893906;42.3288586503949;99.8447368631574;0.00410025536706581;243.887248592424;560;19641;15352.630702
5;P5PRRRR6G10P8A1;2;5PRRRR;11.06.2022 10:48:43;11.06.2022 15:49:58;18075.427975;772.088423099237;i.O.;97.2113362458824;15.3897216367925;581.292289920304;129.46101097086;999.888226645553;569563.08502702;999.668472052292;1729.23357773646;344.070074496172;162951.953841773;2.85781781075479;0.0448907987382169;232.743316855383;3.82801052355981;999.86939784123;731174.472266791;0;30.4952175801982;116.289834842167;6.66291673672955;295.167235300867;1;993.862253195482;17286.4751930696;978.33294345856;2.93705766071074;966.95473989042;1.92477802659921;11.7010690454063;1.83820662920513;99.4730292860466;0.00120804670013817;827.782568244778;521;19680;17992.586486
6;P5PRRRR6G9P8A1;2;5PRRRR;11.06.2022 10:48:42;11.06.2022 14:11:30;12168.337617;3183600598.94484;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;20201;12102.768955
7;P5PRRRR6V1G10P8A1;2;5PRUR;11.06.2022 10:48:42;11.06.2022 15:46:42;17880.256954;711.334452498919;i.O.;137.925251705619;22.0107121394359;673.276700818843;177.434501223902;983.376186727194;3828.69476582501;884.305516225294;5.88484260465447;175.207794110817;283.618862455779;1.49581174601369;0.0234961992006032;182.485609241203;2.94765625319965;940.170489842398;1591.38293349237;287.007163846506;51.6612894923711;2107.82133028335;120.769266192887;295.167235300867;1;991.101136473959;11922.4645240175;967.69443064347;1.96892745566465;952.704038926101;1.3435567953179;168.211471667171;27.0551683871903;98.2918699140957;0.000372610376360125;2683.76852456065;1079;19122;17785.606122
8;P5PRRRR6V1G9P8A1;2;5PRUR;11.06.2022 10:48:42;11.06.2022 14:17:02;12500.290982;3244720814.42932;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;20201;12434.932358
9;P5RPRRR8G9P8A1;2;5RPRRR;11.06.2022 10:54:34;11.06.2022 16:51:14;41.340573;710.888098242701;i.O.;110.670228326083;17.5612998910415;554.581559817659;118.805742937934;960.394054173505;1605.31004588173;742.685311321702;3.07492932301727;168.530278984437;226.282425205175;2.03507095850564;0.0319669287515756;271.088398213993;4.53577100155878;855.485866166884;649.39704462346;0;27.1122973108839;157.68417485716;9.03463771531817;294.146936725739;0.995996501603025;992.000230971264;13262.5967354275;972.133787788;2.2830987133589;969.114257523923;2.05959179503218;178.663015025628;28.8250847634535;99.25088552062;0.00084979052827764;1176.76058596088;228;11173;21316.282382
