LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P5PRRRR4G1P8A1;2;5PRRRR;14.06.2022 19:08:14;15.06.2022 07:10:36;21.371348;30069048.7363428;Selbstkoll. Traj.;104.563045736229;16.5740336630766;580.957938333045;129.320562596734;998.475715816156;41765.0830837803;993.31034446758;86.6444336715708;278.037517694553;11339.9747562678;3.81698082535761;0.0599577130624288;206.094865309532;3.35537573973308;997.403387303737;36775.7719298373;0;34.5932195988423;120.526774555149;6.90567550033477;295.167235300867;1;994.137367319774;18097.7219239524;982.502707598091;3.63747399977794;978.485503900129;2.9579005287328;-242.219761219483;-39.9966979918439;99.9075453722792;0.00688574861525868;145.227491718768;0;25001;42136.968283
2;P5PRRRR4V1G1P8A1;2;5PRUR;14.06.2022 19:08:14;15.06.2022 07:10:35;27.031965;723.436935672804;i.O.;126.373050358973;20.1155451160037;636.569404886094;155.713674108361;969.80798382701;2106.98883628936;757.211702956873;3.21693818219339;209.88484280801;937.755180994167;25.3896960881781;0.399031999711388;231.011815415522;3.79685896277624;974.323193416286;3717.01904411117;444.963073628285;80.0933532530913;1635.51642661696;93.7081885694699;295.167235300867;1;990.494371294599;11161.3248772649;969.931597177008;2.11566379301534;965.837149962359;1.86169643931048;27.6077672931857;4.33933851020517;99.8628028673765;0.00464017559711983;215.509085608894;487;29514;42960.6968109999
3;P5PRRRR6G10P8A1;2;5PRRRR;14.06.2022 19:08:13;15.06.2022 07:10:35;11.643229;1031564107.68738;AR-Hindernis Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;17001;41887.760746
4;P5PRRRR6G9P8A1;2;5PRRRR;14.06.2022 19:08:14;15.06.2022 07:10:31;9.837455;3183040036.85547;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;27001;41741.4569429999
5;P5PRRRR6V1G10P8A1;2;5PRUR;14.06.2022 19:08:13;15.06.2022 07:10:36;31.780747;697.820308849423;i.O.;135.05516606938;21.5385039980612;671.459198109011;176.256157811121;928.992353009108;892.829965506496;670.8047073558;2.54460998728878;137.381975190404;80.1781774047906;177.73707189452;2.86676188988648;281.094737321944;4.72666368007875;683.844623317759;276.795534943097;340.222928223957;61.2401270803122;2145.14786547688;122.907919123322;295.167235300867;1;990.577811739422;11260.1812909522;965.501143805658;1.84352917276277;954.619130265234;1.40046036816074;304.498461142296;51.845841770513;98.8117547431429;0.00053570240542788;1866.70806378267;90;30911;42941.907644
6;P5PRRRR6V1G9P8A1;2;5PRUR;14.06.2022 19:08:13;15.06.2022 07:10:35;9.960026;3034101918.34327;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;27001;42900.594789
7;P5RPRRR8G9P8A1;2;5RPRRR;14.06.2022 19:07:52;15.06.2022 07:10:28;33.47254;708.207278840558;i.O.;150.450959242446;24.0828080373843;654.973665944231;166.083898060985;980.045571014702;3189.32339792476;873.125803901078;5.44189728452216;159.558905149856;167.395436354313;2.21418286514792;0.034780443357182;211.608650906868;3.4520204227327;847.093407319158;612.462605856011;0;28.0464285926774;158.363062171172;9.07353509317605;293.620787797052;0.993934469976528;990.722487344754;11435.800522271;974.340448082837;2.47968083404163;966.099294337222;1.8761199690216;285.746148863434;48.1636278232831;98.8978116925819;0.000577538483247128;1731.48634940765;205;20796;42734.848861
8;P5RPRRR8V1G9P8A1;2;5RPUR;14.06.2022 19:07:52;15.06.2022 07:10:36;32.831235;746.373423126722;i.O.;177.996296776215;28.7116894099826;709.837707682891;203.993751021014;999.638867644208;176284.316226582;998.717240747518;447.659680470223;271.421190116639;8814.47806210493;0.850246636169866;0.0133556508706216;193.32413714357;3.13365140138341;998.245833103907;54437.6503699304;299.106077618928;53.839093971407;2223.71904247447;127.40971595666;294.7987933662;0.998553550308856;992.318284118283;13811.7768858755;975.380798020176;2.58457762096682;964.795829429142;1.80652097793673;232.757038634655;38.2825765148883;99.4204708013758;0.00109848164424251;910.34748303835;98;17903;41384.79125
9;P5RRPRR4G1P8A1;2;5RRPRR;14.06.2022 19:07:53;15.06.2022 07:10:36;27.348791;773.25908294241;i.O.;153.259794070871;24.5501077596178;683.593763125731;184.356897882176;999.592474239518;156215.81434664;998.704237766282;443.17743303425;349.898750261127;209324.476269789;7.19462093338376;0.113017652890784;345.487777817173;6.03093368771153;999.905160816389;1006893.58040724;0;45.7080989295068;204.473536702202;11.7154706751495;295.167235300867;1;993.544391577888;16435.2686242365;976.334107784713;2.68879146942689;968.424292253533;2.01451587594316;158.417349122259;25.4108134993913;99.9244384240119;0.00842517463526988;118.691901745722;83;33918;42743.044625
